Dyad,Cov,SectionStartTime,SoundID,Start,End,Duration,SoundType,S_Around_Overall_Time,S_Monitor_Overall_Time,S_Keyboard_Overall_Time,S_Face_Overall_Time,S_Around_Mean,S_Monitor_Mean,S_Keyboard_Mean,S_Face_Mean,S_NoFace_Mean,S_CompOnly_Mean,S_BodyOnly_Mean,S_Around_Median,S_Monitor_Median,S_Keyboard_Median,S_Face_Median,S_NoFace_Median,S_CompOnly_Median,S_BodyOnly_Median,S_Around_PopularSD,S_Monitor_PopularSD,S_Keyboard_PopularSD,S_Face_PopularSD,S_NoFace_PopularSD,S_CompOnly_PopularSD,S_BodyOnly_PopularSD,S_Around_Frequency,S_Monitor_Frequency,S_Keyboard_Frequency,S_Face_Frequency,S_NoFace_Frequency,S_CompOnly_Frequency,S_BodyOnly_Frequency,S_Around_Max,S_Monitor_Max,S_Keyboard_Max,S_Face_Max,S_NoFace_Max,S_CompOnly_Max,S_BodyOnly_Max,S_Around_Min,S_Monitor_Min,S_Keyboard_Min,S_Face_Min,S_NoFace_Min,S_CompOnly_Min,S_BodyOnly_Min
1,1,3000,20,4664,5181,518,1,78.0,52.0,89.0,299.0,26.0,17.333333333333332,29.666666666666668,37.375,31.285714285714285,23.5,64.666666666666671,16.0,14.0,16.0,38.5,27.0,15.0,59.5,14.142135623730951,8.4983658559879753,22.954060400915758,18.821115136994408,19.840177747722535,18.373440976946405,37.223051400383007,3.0,3.0,3.0,8.0,7.0,6.0,6.0,46.0,29.0,62.0,62.0,62.0,62.0,119.0,16.0,9.0,11.0,13.0,9.0,9.0,15.0
1,1,3000,21,5182,5291,110,3,0.0,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,110.0
1,1,3000,22,5292,5353,62,1,0.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0
1,1,3000,23,5354,5463,110,3,0.0,20.0,0.0,90.0,0.0,20.0,0.0,45.0,20.0,20.0,45.0,0.0,20.0,0.0,45.0,20.0,20.0,45.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,20.0,0.0,68.0,20.0,20.0,68.0,0.0,20.0,0.0,22.0,20.0,20.0,22.0
1,1,3000,24,5464,5553,90,1,0.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,90.0
1,1,3000,25,5554,5611,58,3,7.0,10.0,0.0,41.0,7.0,10.0,0.0,13.666666666666666,8.5,10.0,13.666666666666666,7.0,10.0,0.0,9.0,8.5,10.0,9.0,0.0,0.0,0.0,11.897712198383164,1.5,0.0,11.897712198383164,1.0,1.0,0.0,3.0,2.0,1.0,3.0,7.0,10.0,0.0,30.0,10.0,10.0,30.0,7.0,10.0,0.0,2.0,7.0,10.0,2.0
1,1,3000,26,5612,5999,388,1,110.0,60.0,85.0,133.0,36.666666666666664,30.0,42.5,19.0,36.428571428571431,36.25,43.600000000000001,31.0,30.0,42.5,14.0,31.0,30.0,29.0,18.803073034893941,1.0,30.5,12.317235311314212,20.975204019829448,22.465250944514285,42.907342029074705,3.0,2.0,2.0,7.0,7.0,4.0,5.0,62.0,31.0,73.0,38.0,73.0,73.0,127.0,17.0,29.0,12.0,7.0,12.0,12.0,10.0
1,1,6000,0,6000,6319,320,1,82.0,25.0,88.0,125.0,20.5,12.5,29.333333333333332,25.0,32.5,22.600000000000001,53.25,18.0,12.5,30.0,18.0,29.5,20.0,43.0,10.805091392487155,2.5,7.3635740114581747,12.083045973594572,14.419315748906627,10.150862032359617,34.816483165305485,4.0,2.0,3.0,5.0,6.0,5.0,4.0,37.0,15.0,38.0,40.0,61.0,38.0,109.0,9.0,10.0,20.0,11.0,15.0,10.0,18.0
1,1,6000,1,6320,6503,184,3,0.0,96.0,0.0,88.0,0.0,48.0,0.0,44.0,48.0,48.0,44.0,0.0,48.0,0.0,44.0,48.0,48.0,44.0,0.0,41.0,0.0,33.0,41.0,41.0,33.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,89.0,0.0,77.0,89.0,89.0,77.0,0.0,7.0,0.0,11.0,7.0,7.0,11.0
1,1,6000,2,6504,6571,68,1,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0
1,1,6000,3,6572,6791,220,3,0.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,220.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,220.0
1,1,6000,4,6792,6816,25,1,0.0,0.0,7.0,18.0,0.0,0.0,7.0,9.0,7.0,7.0,25.0,0.0,0.0,7.0,9.0,7.0,7.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,11.0,7.0,7.0,25.0,0.0,0.0,7.0,7.0,7.0,7.0,25.0
1,1,6000,5,6817,6850,34,3,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0
1,1,6000,6,6851,7504,654,1,94.0,16.0,106.0,438.0,15.666666666666666,8.0,21.199999999999999,39.81818181818182,19.636363636363637,24.399999999999999,68.0,16.5,8.0,23.0,27.0,18.0,25.0,35.0,7.5424723326565069,1.0,5.3441556863549549,35.426795667117133,9.315409787235998,9.0022219479415195,67.412906776076639,6.0,2.0,5.0,11.0,11.0,5.0,8.0,29.0,9.0,28.0,135.0,39.0,39.0,218.0,6.0,7.0,14.0,8.0,6.0,14.0,14.0
1,1,6000,7,7505,7674,170,3,1.0,0.0,0.0,169.0,1.0,0.0,0.0,169.0,1.0,0.0,169.0,1.0,0.0,0.0,169.0,1.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,169.0,1.0,0.0,169.0,1.0,0.0,0.0,169.0,1.0,0.0,169.0
1,1,6000,8,7675,7692,18,1,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
1,1,6000,9,7693,7718,26,3,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0
1,1,6000,10,7719,7791,73,1,10.0,0.0,0.0,63.0,10.0,0.0,0.0,31.5,10.0,0.0,31.5,10.0,0.0,0.0,31.5,10.0,0.0,31.5,0.0,0.0,0.0,15.5,0.0,0.0,15.5,1.0,0.0,0.0,2.0,1.0,0.0,2.0,10.0,0.0,0.0,47.0,10.0,0.0,47.0,10.0,0.0,0.0,16.0,10.0,0.0,16.0
