,Dyad,TotalDurationAround1,MeanDurationAround1,FrequencyAround1,TotalDurationMonitor1,MeanDurationMonitor1,FrequencyMonitor1,TotalDurationKeyboard1,MeanDurationKeyboard1,FrequencyKeyboard1,TotalDurationFace1,MeanDurationFace1,FrequencyFace1,TotalDurationAround2,MeanDurationAround2,FrequencyAround2,TotalDurationMonitor2,MeanDurationMonitor2,FrequencyMonitor2,TotalDurationKeyboard2,MeanDurationKeyboard2,FrequencyKeyboard2,TotalDurationFace2,MeanDurationFace2,FrequencyFace2
20,29,62.0,3.647058823666667,17,95.76666666666667,1.9153333333333333,50,66.6,1.332,50,75.63333333333334,1.1817708333333334,64,237.0,14.8125,16,26.133333333333333,2.0102564102666665,13,25.633333333333333,1.2206349206333333,21,11.233333333333333,0.6240740740666666,18
21,30,73.93333333333334,2.1745098039333333,34,34.6,1.5727272727333335,22,41.7,2.1947368421,19,149.76666666666668,2.377248677233333,63,104.33333333333333,4.173333333333334,25,39.7,3.308333333333333,12,83.9,4.415789473666666,19,72.06666666666666,2.0590476190333336,35
22,31,133.76666666666668,2.1232804232666664,63,102.03333333333333,1.5004901960666668,68,24.9,0.8032258064666667,31,39.3,0.6894736841999999,57,167.86666666666667,2.622916666666667,64,63.766666666666666,1.2503267973999999,51,14.733333333333333,0.7015873015999999,21,53.63333333333333,0.8004975124333333,67
23,32,56.9,1.7242424242333334,33,66.53333333333333,1.2553459119333334,53,68.63333333333334,1.2709876543333332,54,107.93333333333334,1.1243055555666668,96,140.46666666666667,3.901851852,36,71.23333333333333,1.9252252252333333,37,53.36666666666667,1.5247619047666667,35,34.93333333333333,0.8520325203333333,41
24,33,67.6,1.5022222222333332,45,27.333333333333332,1.012345679,27,47.9,0.8870370370333334,54,157.16666666666666,1.8275193798333333,86,83.16666666666667,2.0791666666666666,40,40.233333333333334,1.5474358974333335,26,98.73333333333333,1.5189743589666664,65,77.86666666666666,1.3197740113,59
25,34,112.23333333333333,2.3381944444333334,48,35.0,1.4,25,39.63333333333333,1.3211111111,30,113.13333333333334,1.9175141242999998,59,102.7,2.3883720930333334,43,20.533333333333335,1.2833333333333334,16,56.86666666666667,1.0935897436,52,119.9,1.517721519,79
26,35,96.66666666666667,2.0138888889,48,77.16666666666667,1.4839743589666665,52,18.1,1.5083333333333333,12,108.06666666666666,1.4803652967999998,73,124.66666666666667,3.7777777776666666,33,102.23333333333333,3.2978494623666665,31,2.8666666666666667,0.7166666666666667,4,70.23333333333333,2.006666666666667,35
27,36,88.0,1.9130434782666665,46,108.56666666666666,1.8718390804666667,58,39.2,1.3517241379333336,29,64.23333333333333,1.1074712643666667,58,85.5,2.1923076922999996,39,99.53333333333333,2.0736111111,48,75.4,1.7952380952333333,42,39.56666666666667,1.0412280701666667,38
28,37,97.06666666666666,1.5166666666666666,64,56.46666666666667,1.1293333333333335,50,15.033333333333333,0.5782051282,26,131.43333333333334,1.6226337448666668,81,150.4,2.549152542366667,59,38.96666666666667,1.0824074074,36,8.233333333333333,0.5880952381,14,102.4,1.4628571428666668,70
29,38,69.43333333333334,1.2858024691333334,54,91.76666666666667,1.9524822695,47,33.6,0.9081081081000001,37,105.2,1.5470588235333336,68,107.66666666666667,2.2907801418333333,47,134.2,2.6313725490333337,51,17.633333333333333,1.1755555555666666,15,40.5,1.0657894737,38
30,41,28.566666666666666,1.1426666666666667,25,11.366666666666667,0.9472222222333333,12,126.96666666666667,3.096747967466667,41,133.1,2.2948275862000003,58,18.0,0.9,20,16.2,1.62,10,135.33333333333334,3.759259259333333,36,130.46666666666667,2.2112994350333333,59
31,42,109.03333333333333,2.5356589147333333,43,59.2,1.7939393939333332,33,16.833333333333332,0.9351851851999999,18,114.93333333333334,1.8841530054666664,61,142.83333333333334,3.9675925926666666,36,84.9,2.2342105262999996,38,35.666666666666664,1.0808080808,33,36.6,1.0764705882333334,34
32,43,70.13333333333334,2.1252525252666667,33,62.53333333333333,1.5252032520333334,41,60.13333333333333,1.5033333333333334,40,107.2,1.5764705882333334,68,178.26666666666668,6.856410256333334,26,59.8,1.9290322580666666,31,14.1,2.0142857142999997,7,47.833333333333336,1.4494949495,33
33,44,54.36666666666667,1.4307017544,38,47.8,1.0863636363666667,44,0.0,0.0,0,197.83333333333334,2.7476851852,72,113.73333333333333,2.773983739833333,41,47.03333333333333,2.2396825396666666,21,2.2333333333333334,1.1166666666666667,2,137.0,2.3220338983,59
34,45,33.36666666666667,1.0111111111000002,33,29.1,1.1192307692333332,26,90.26666666666667,1.8053333333333332,50,147.26666666666668,1.9900900901,74,46.766666666666666,1.7320987654333335,27,27.033333333333335,1.4228070175333334,19,113.6,2.5818181818333334,44,112.6,1.8766666666666665,60
35,47,42.666666666666664,1.8550724637666667,23,10.966666666666667,0.6854166666666667,16,62.4,1.3565217391333335,46,183.96666666666667,2.9201058201,63,59.766666666666666,1.9922222222333332,30,18.666666666666668,1.4358974358999999,13,95.8,2.4564102564,39,125.76666666666667,2.245833333333333,56
36,48,28.866666666666667,0.9622222222333332,30,33.93333333333333,0.8079365079333335,42,47.46666666666667,0.9493333333333334,50,189.73333333333332,1.7899371069333334,106,40.233333333333334,1.6763888889,24,43.43333333333333,1.0341269841333334,42,17.766666666666666,0.6345238095333332,28,198.56666666666666,2.683333333333333,74
37,49,41.666666666666664,1.1574074074,36,67.03333333333333,1.7188034187999999,39,76.4,1.2949152542333333,59,114.9,1.2094736842,95,5.633333333333334,1.1266666666666665,5,224.16666666666666,5.213178294666666,43,5.1,0.85,6,65.1,1.35625,48
38,50,123.9,5.1625,24,36.3,3.3,11,54.833333333333336,1.8908045977,29,84.96666666666667,2.5747474747333334,33,205.96666666666667,7.628395061666667,27,23.133333333333333,1.4458333333333333,16,7.0,1.75,4,63.9,2.13,30
39,51,17.466666666666665,1.0274509804,17,6.766666666666667,0.7518518518666666,9,25.733333333333334,0.6276422764333333,41,250.03333333333333,4.032795699,62,58.63333333333333,1.7767676767666667,33,38.666666666666664,1.6811594202999998,23,85.16666666666667,2.0277777777666666,42,117.53333333333333,2.2176100629,53
40,52,42.7,1.2558823529333334,34,56.46666666666667,1.0456790123333333,54,8.066666666666666,0.6205128205,13,192.76666666666668,2.4400843882,79,62.0,2.3846153846000004,26,37.666666666666664,1.2988505747,29,65.9,1.6475,40,134.43333333333334,1.7688596491333333,76
41,53,33.333333333333336,1.3888888889,24,111.06666666666666,2.0193939394,55,8.566666666666666,0.9518518518666667,9,147.03333333333333,2.5350574712666667,58,49.1,2.2318181818333334,22,121.13333333333334,2.4226666666666667,50,0.9,0.45,2,128.86666666666667,2.5773333333333333,50
42,54,58.7,1.9566666666666668,30,24.033333333333335,1.1444444444333333,21,68.6,0.9397260274,73,148.66666666666666,1.4433656957999998,103,33.3,1.5857142857000002,21,64.5,1.9545454545333336,33,50.5,1.0306122449,49,151.7,2.3703125,64
43,55,78.53333333333333,2.2438095238,35,11.633333333333333,0.7755555555666667,15,77.3,1.3327586207000002,58,132.53333333333333,1.8407407407333334,72,71.8,2.475862068966667,29,7.966666666666667,0.6638888889000001,12,97.73333333333333,2.3837398374,41,122.5,2.2272727272666666,55
44,56,42.233333333333334,0.9598484848333333,44,14.766666666666667,0.6712121212,22,26.633333333333333,0.7833333333333333,34,216.36666666666667,2.486973180066667,87,95.9,1.7436363636333332,55,67.86666666666666,1.834234234233333,37,43.6,1.1473684210666666,38,92.63333333333334,1.1876068376000002,78
45,57,38.7,1.6125,24,8.1,0.7363636363666667,11,79.26666666666667,1.7231884057999998,46,173.93333333333334,2.7177083333333334,64,104.63333333333334,3.608045977,29,29.466666666666665,3.683333333333333,8,45.36666666666667,2.3877192982333333,19,120.53333333333333,3.6525252526666665,33
46,58,49.06666666666667,1.3629629629666666,36,26.433333333333334,0.9790123456666666,27,1.9,0.475,4,222.6,3.71,60,85.6,2.853333333333333,30,42.53333333333333,1.9333333333333333,22,5.9,1.9666666666666666,3,165.96666666666667,3.7719696970000003,44
47,59,63.53333333333333,1.3517730496333333,47,12.933333333333334,0.9238095238,14,37.2,1.1625,32,186.33333333333334,2.4844444444333336,75,62.56666666666667,1.7379629629666664,36,36.5,1.5869565217333335,23,11.6,0.8923076923,13,189.33333333333334,3.2643678160999996,58
48,60,43.2,1.4400000000000002,30,13.5,0.9,15,8.166666666666666,0.6805555555666667,12,235.13333333333333,4.610457516333333,51,59.166666666666664,3.114035087733334,19,50.63333333333333,2.8129629629666666,18,4.466666666666667,0.7444444444333335,6,185.73333333333332,5.159259259333334,36
49,61,85.66666666666667,2.1965811965666666,39,72.7,2.0194444444333333,36,24.233333333333334,1.1539682539666667,21,117.4,1.7014492753666668,69,158.86666666666667,3.694573643333333,43,50.06666666666667,1.7880952381,28,11.033333333333333,0.8487179487333332,13,80.03333333333333,1.2703703703666667,63
50,62,47.266666666666666,1.0742424242333333,44,33.733333333333334,0.7177304964666666,47,11.033333333333333,0.8487179487333332,13,207.96666666666667,2.8488584475,73,9.8,1.4,7,162.93333333333334,2.9095238095333333,56,5.0,1.25,4,122.26666666666667,2.108045977,58
51,63,42.266666666666666,1.1423423423333332,37,26.233333333333334,1.2492063492,21,91.06666666666666,1.7856209150333335,51,140.43333333333334,1.6141762452000001,87,76.53333333333333,2.0140350877333333,38,20.833333333333332,2.0833333333333335,10,101.3,2.8138888889,36,101.33333333333333,1.6888888889,60
52,64,177.83333333333334,5.557291666666667,32,46.5,2.021739130433333,23,12.133333333333333,1.2133333333333334,10,63.53333333333333,1.4439393939333334,44,236.7,7.635483871,31,0.5333333333333333,0.5333333333333333,1,7.1,0.7888888889,9,55.666666666666664,1.7956989247333333,31
53,65,41.0,1.5185185185333334,27,14.5,1.1153846154,13,36.06666666666667,0.9016666666666667,40,208.43333333333334,3.2567708333333334,64,67.0,2.7916666666666665,24,9.366666666666667,0.9366666666666668,10,16.7,1.1133333333333333,15,206.93333333333334,4.703030303,44
54,66,58.733333333333334,1.2236111110999999,48,59.06666666666667,1.1144654088000001,53,43.46666666666667,0.9449275362333333,46,138.73333333333332,1.4156462585,98,54.36666666666667,1.1326388889,48,124.6,2.1118644067666668,59,11.533333333333333,0.7688888889,15,109.5,1.3035714285666666,84
55,67,42.2,1.2411764706,34,35.46666666666667,2.0862745098,17,70.56666666666666,1.721138211366667,41,151.76666666666668,2.2994949495,66,80.73333333333333,2.6043010752666667,31,40.766666666666666,1.9412698412666667,21,113.56666666666666,2.5810606060666665,44,64.93333333333334,1.3527777777666665,48
56,68,106.53333333333333,2.8792792792666666,37,85.3,2.3054054054,37,6.333333333333333,0.9047619047666667,7,101.83333333333333,2.4837398374,41,135.0,3.552631579,38,44.666666666666664,1.5402298850666665,29,43.9,3.1357142856999998,14,76.43333333333334,1.9108333333333334,40
57,69,41.733333333333334,1.1923809523666666,35,111.23333333333333,1.7112820512666669,65,85.0,1.3934426229666668,61,62.03333333333333,0.8271111111000001,75,95.76666666666667,1.4293532338333332,67,31.133333333333333,1.4825396825333335,21,144.5,2.0642857143,70,28.6,0.5958333333333333,48
58,70,25.466666666666665,1.1072463768,23,53.96666666666667,1.9987654321000001,27,53.93333333333333,1.1236111111,48,166.63333333333333,2.3469483567999996,71,17.066666666666666,1.5515151514999999,11,9.2,1.84,5,179.36666666666667,2.9404371584666666,61,94.36666666666666,1.5727777777666667,60
59,71,7.066666666666666,1.0095238095333332,7,32.2,1.3416666666666666,24,48.766666666666666,0.7388888888999999,66,211.96666666666667,2.5234126984,84,8.533333333333333,1.4222222222333334,6,59.233333333333334,1.8510416666666667,32,98.23333333333333,1.4883838383999999,66,134.0,1.8873239436666667,71
60,72,18.233333333333334,1.0725490196,17,45.666666666666664,1.2017543859666666,38,16.166666666666668,0.9509803921666666,17,219.93333333333334,3.7276836156666664,59,77.33333333333333,2.2745098039333334,34,80.6,2.178378378366667,37,4.166666666666667,0.6944444444333333,6,137.9,2.3372881356,59
61,73,64.4,1.4636363636333334,44,1.2333333333333334,0.4111111111,3,49.233333333333334,1.5385416666666667,32,185.13333333333333,2.5018018017999997,74,39.13333333333333,1.0576576576666665,37,2.8666666666666667,0.47777777776666663,6,91.86666666666666,2.3555555555666667,39,166.13333333333333,2.5171717171666668,66
62,74,14.766666666666667,0.6152777777666666,24,6.933333333333334,1.1555555555666668,6,14.066666666666666,0.8274509804,17,264.23333333333335,6.144961240333333,43,10.066666666666666,0.9151515151666667,11,19.433333333333334,1.494871794866667,13,22.033333333333335,1.0492063491999999,21,248.46666666666667,6.715315315333333,37
63,75,38.3,1.2766666666666666,30,8.633333333333333,0.7194444444333334,12,40.63333333333333,1.0692982456,38,212.43333333333334,2.8707207207333334,74,54.56666666666667,2.020987654333333,27,48.56666666666667,2.2075757575666666,22,76.66666666666667,2.1904761904666668,35,120.2,2.1854545454666665,55
64,77,35.36666666666667,1.1788888889,30,76.06666666666666,1.2268817204333333,62,21.233333333333334,0.9651515151666668,22,167.33333333333334,2.1731601731666665,77,42.233333333333334,1.8362318840666667,23,80.53333333333333,1.9642276422666667,41,8.766666666666667,0.9740740740666667,9,168.46666666666667,3.5843971629999998,47
65,78,57.03333333333333,1.0761006289333332,53,5.1,0.7285714285666667,7,3.533333333333333,0.5888888889,6,234.33333333333334,3.7795698923333334,62,56.03333333333333,1.6480392157000001,34,42.266666666666666,1.8376811594333335,23,7.866666666666666,0.7151515151666668,11,193.83333333333334,4.0381944443333335,48
66,79,163.43333333333334,3.1429487179333333,52,20.833333333333332,1.0416666666666667,20,47.7,1.3628571428666667,35,68.03333333333333,1.1729885057333331,58,181.2,4.897297297333334,37,7.366666666666666,1.2277777777666665,6,6.433333333333334,0.5361111111,12,105.0,2.1428571428666667,49
67,80,99.86666666666666,2.3777777777666667,42,74.66666666666667,2.8717948717999997,26,45.766666666666666,1.9069444444333332,24,79.7,1.6957446808666667,47,153.33333333333334,8.070175438666666,19,111.23333333333333,8.556410256333333,13,12.933333333333334,1.8476190476333332,7,22.5,1.40625,16
